,ID_Produkta,Ime_Produkta,Število_Ocen,Opis,Razpoložljivost,Partner,Cena
61,18052470,Whirlpool WHE3133.1 prostostoječa zamrzovalna skrinja,N/A,"Whirlpool WHE3133.1 prostostoječa zamrzovalna skrinja, ki se uvršča v F energijski razred, ponuja izjemnih 315 litrov prostornine za shranjevanje zamrznjenih izdelkov v treh košarah oziroma predalih. Tehnologija Fast Freeze poskrbi za hitro zamrzovanje izdelkov, ob enem pa še ščiti hrano in njene hranilne vrednosti.",N/A,Mimovrste,"479,90 €"
62,2931207,GUZZANTI GZ 99 zamrzovalnik,7x,"Samostoječi zamrzovalnik v energetskem razredu F in beli barvi s prostornino 96 l in elektronskim krmiljenjem. Guzzanti GZ 99 ima elektronski termostat, tih inverterski kompresor in je odličen za restavracijske kuhinje, manjše domove ali garaže.",N/A,Mimovrste,"175,50 €"
63,2926159,"Liebherr GP 1386 namizna zamrzovalna omara, SmartFrost",1x,"Namizna zamrzovalna omara Liebherr GP 1386 s prostornino 103 l se uvršča v energijski razred E. Ima SmartFrost sistem za manj nabiranja ledu na živilih, 4 predale ter LCD zaslon z grafičnim prikazom temperature. Na dan zamrzne do 6 kg živil, v primeru motenj napajanja pa jih ohranja zamrznjena še 14 ur.",N/A,Mimovrste,449 €
64,9645719,Liebherr FNc 4675 samostojna zamrzovalna omara s sistemom NoFrost,N/A,"Samostojna zamrzovalna omara Liebherr FNc 4675 spada v energijski razred C. Ponaša se s sistemom, ki ščiti zamrzovalni prostor pred neželeno zaledenitvijo NoFrost. Skupna prostornina znaša 199 litrov.",N/A,Mimovrste,"1.379,19 €"
65,2737040,Bosch GIN81AEF0 vgradni zamrzovalnik,N/A,Vgradni zamrzovalnik Bosch GIN81AEF0 odlikuje skupna uporabna prostornina 212 litrov. Uvršča se v energijski razred F.,N/A,Mimovrste,"1.005,49 €"
66,30959543,Compass Hladilna skrinja 50l 230V/12V mobilna,N/A,"Prenosni hladilnik z možnostjo ogrevanja, ki se napaja iz 12-voltne vtičnice avtomobilskega vžiga ali iz standardne 230-voltne vtičnice.",N/A,N/A,"199,37 €"
67,1049402,GUZZANTI zamrzovalna skrinja GZ 109,24x,Zamrzovalna skrinja Guzzanti GZ 109 v energijskem razredu F. Nudi skupno prostornino 100 litrov za shranjevanje hrane. Snemljiva košara za shranjevanje živil omogoča lažje shranjevanje in dostop do živil.,N/A,Mimovrste,"218,69 €"
68,1145110,Indesit UI6 1 W.1 zamrzovalna omara,N/A,Indesit zamrzovalna omara UI6 1 W.1 spada v energijski razred F in ima 233 litrov prostornine. Za shranjevanje živil vam bo na voljo 6 predalov.,N/A,Mimovrste,465 €
69,9644731,Liebherr FNc 5076 samostojna zamrzovalna omara s sistemom NoFrost,2x,"Samostojna zamrzovalna omara Liebherr FNc 5076 spada v energijski razred C. Ponaša se s sistemom, ki ščiti zamrzovalni prostor pred neželeno zaledenitvijo NoFrost. Skupna prostornina znaša 238 litrov. Je izredno tiha zamrzovalna omara. Ponaša se s sistemom EasyOpen, kateri omogoča enostavno večkrat zapored odpiranje vrat.",N/A,Mimovrste,"1.479,19 €"
70,9632453,Liebherr FNc 5277 samostojna zamrzovalna omara s sistemom NoFrost,1x,"Samostojna zamrzovalna omara Liebherr FNc 5277 spada v energijski razred C. Ponaša se s sistemom, ki ščiti zamrzovalni prostor pred neželeno zaledenitvijo NoFrost. Skupna prostornina znaša 277 litrov.",N/A,Mimovrste,1.579 €
71,1048457,GUZZANTI zamrzovalna skrinja GZ 210,12x,Zamrzovalna skrinja Guzzanti GZ 210 v energijskem razredu F. Nudi skupno prostornino 202 litrov za shranjevanje hrane. Snemljiva košara za shranjevanje živil omogoča lažje shranjevanje in dostop do živil.,N/A,Mimovrste,"285,30 €"
